index,id,masterCategory,subCategory,articleType,usage,baseColour,image
37590,5798,Apparel,Topwear,Tshirts,Casual,White,5798.jpg
17763,44309,Apparel,Bottomwear,Shorts,Casual,Brown,44309.jpg
24098,12503,Apparel,Topwear,Tshirts,Casual,Black,12503.jpg
14615,48081,Apparel,Topwear,Tshirts,Casual,Red,48081.jpg
33737,22406,Apparel,Topwear,Shirts,Formal,Purple,22406.jpg
18349,10845,Apparel,Topwear,Tshirts,Casual,Red,10845.jpg
8088,11462,Apparel,Topwear,Tshirts,Casual,White,11462.jpg
43669,52063,Apparel,Topwear,Tshirts,Casual,Yellow,52063.jpg
40269,27259,Apparel,Topwear,Tops,Casual,Red,27259.jpg
9355,15090,Apparel,Topwear,Shirts,Casual,White,15090.jpg
35636,20305,Apparel,Topwear,Sweaters,Casual,Magenta,20305.jpg
4157,3532,Apparel,Topwear,Tshirts,Casual,Black,3532.jpg
11985,11680,Apparel,Topwear,Shirts,Casual,Red,11680.jpg
7370,52162,Apparel,Dress,Dresses,Casual,Black,52162.jpg
5813,47283,Apparel,Topwear,Tshirts,Casual,Purple,47283.jpg
37071,41358,Apparel,Bottomwear,Jeans,Casual,Blue,41358.jpg
25166,11744,Apparel,Topwear,Tshirts,Casual,Green,11744.jpg
12980,8826,Apparel,Topwear,Shirts,Casual,White,8826.jpg
14586,53434,Apparel,Topwear,Tshirts,Sports,Blue,53434.jpg
7545,19601,Apparel,Topwear,Tops,Casual,Peach,19601.jpg
22231,34434,Apparel,Topwear,Tshirts,Casual,Blue,34434.jpg
1919,26106,Apparel,Topwear,Shirts,Formal,Purple,26106.jpg
139,16392,Apparel,Topwear,Shirts,Casual,Red,16392.jpg
43932,10026,Apparel,Topwear,Tshirts,Sports,Black,10026.jpg
33700,16065,Apparel,Bottomwear,Trousers,Casual,Navy Blue,16065.jpg
1051,17249,Apparel,Topwear,Tshirts,Casual,Blue,17249.jpg
5315,22792,Apparel,Topwear,Tshirts,Casual,White,22792.jpg
29770,32485,Apparel,Bottomwear,Shorts,Casual,Red,32485.jpg
13052,3439,Apparel,Topwear,Tshirts,Sports,Blue,3439.jpg
31713,20918,Apparel,Bottomwear,Jeans,Casual,Blue,20918.jpg
15092,15674,Apparel,Bottomwear,Jeans,Casual,Blue,15674.jpg
20048,18877,Apparel,Topwear,Shirts,Casual,Red,18877.jpg
22010,9689,Apparel,Topwear,Tshirts,Casual,Blue,9689.jpg
15532,24964,Apparel,Topwear,Tshirts,Casual,Black,24964.jpg
1496,33285,Apparel,Topwear,Tshirts,Casual,Blue,33285.jpg
41336,9879,Apparel,Topwear,Shirts,Casual,Blue,9879.jpg
33867,3066,Apparel,Topwear,Tshirts,Casual,White,3066.jpg
23537,10836,Apparel,Topwear,Tshirts,Casual,White,10836.jpg
16130,20192,Apparel,Topwear,Tshirts,Casual,White,20192.jpg
25954,52049,Apparel,Topwear,Tshirts,Casual,White,52049.jpg
33697,7432,Apparel,Bottomwear,Shorts,Sports,Grey,7432.jpg
5267,31371,Apparel,Topwear,Tshirts,Casual,Navy Blue,31371.jpg
29313,11264,Apparel,Bottomwear,Trousers,Casual,Grey,11264.jpg
11807,29247,Apparel,Topwear,Tshirts,Sports,Yellow,29247.jpg
33425,14197,Apparel,Dress,Dresses,Casual,Black,14197.jpg
8417,24947,Apparel,Topwear,Tops,Casual,Red,24947.jpg
262,27879,Apparel,Topwear,Tops,Casual,Blue,27879.jpg
34546,41959,Apparel,Topwear,Tshirts,Casual,Green,41959.jpg
7867,37198,Apparel,Dress,Dresses,Casual,Red,37198.jpg
31852,58491,Apparel,Bottomwear,Shorts,Casual,Olive,58491.jpg
12608,30134,Apparel,Topwear,Tshirts,Casual,Orange,30134.jpg
4786,41008,Apparel,Bottomwear,Jeans,Casual,Navy Blue,41008.jpg
29119,9345,Apparel,Bottomwear,Shorts,Casual,Green,9345.jpg
36098,16204,Apparel,Topwear,Tshirts,Casual,Black,16204.jpg
2294,14039,Apparel,Topwear,Shirts,Casual,Green,14039.jpg
21350,51446,Apparel,Topwear,Tops,Casual,Cream,51446.jpg
11025,4831,Apparel,Bottomwear,Track Pants,Sports,Black,4831.jpg
26122,12331,Apparel,Bottomwear,Jeans,Casual,Blue,12331.jpg
24852,7703,Apparel,Topwear,Tops,Casual,Black,7703.jpg
3501,24269,Apparel,Topwear,Tshirts,Casual,Grey,24269.jpg
27387,13888,Apparel,Bottomwear,Trousers,Casual,Navy Blue,13888.jpg
16596,14991,Apparel,Topwear,Sweaters,Casual,Green,14991.jpg
